site_id,time_index,vehicle_group,count,time_label
2,1,CAR,304,07:15
2,1,HGV,68,07:15
2,2,ALL,352,07:30
2,2,BUS,0,07:30
2,2,CAR,295,07:30
2,2,HGV,57,07:30
2,3,ALL,372,07:45
2,3,BUS,1,07:45
2,3,CAR,312,07:45
2,3,HGV,59,07:45
2,4,ALL,361,08:00
2,4,BUS,2,08:00
2,4,CAR,308,08:00
2,4,HGV,51,08:00
2,5,ALL,368,08:15
2,5,BUS,0,08:15
2,5,CAR,326,08:15
2,5,HGV,42,08:15
2,6,ALL,401,08:30
2,6,BUS,0,08:30
2,6,CAR,357,08:30
2,6,HGV,44,08:30
2,7,ALL,340,08:45
2,7,BUS,2,08:45
2,7,CAR,295,08:45
2,7,HGV,43,08:45
2,8,ALL,373,09:00
2,8,BUS,1,09:00
2,8,CAR,336,09:00
2,8,HGV,36,09:00
2,9,ALL,375,09:15
2,9,BUS,0,09:15
2,9,CAR,322,09:15
2,9,HGV,53,09:15
2,10,ALL,390,09:30
2,10,BUS,0,09:30
2,10,CAR,337,09:30
2,10,HGV,53,09:30
2,11,ALL,348,09:45
2,11,BUS,0,09:45
2,11,CAR,284,09:45
2,11,HGV,64,09:45
2,12,ALL,385,10:00
2,12,BUS,2,10:00
2,12,CAR,314,10:00
2,12,HGV,69,10:00
2,13,ALL,305,10:15
2,13,BUS,0,10:15
2,13,CAR,252,10:15
2,13,HGV,53,10:15
2,14,ALL,335,10:30
2,14,BUS,0,10:30
2,14,CAR,273,10:30
2,14,HGV,62,10:30
2,15,ALL,343,10:45
2,15,BUS,0,10:45
2,15,CAR,261,10:45
2,15,HGV,82,10:45
2,16,ALL,314,11:00
2,16,BUS,0,11:00
2,16,CAR,246,11:00
2,16,HGV,68,11:00
2,17,ALL,322,11:15
2,17,BUS,0,11:15
2,17,CAR,253,11:15
2,17,HGV,69,11:15
2,18,ALL,357,11:30
2,18,BUS,0,11:30
2,18,CAR,278,11:30
2,18,HGV,79,11:30
2,19,ALL,312,11:45
2,19,BUS,0,11:45
2,19,CAR,244,11:45
2,19,HGV,68,11:45
2,20,ALL,301,12:00
2,20,BUS,0,12:00
2,20,CAR,228,12:00
2,20,HGV,73,12:00
2,21,ALL,338,12:15
2,21,BUS,0,12:15
2,21,CAR,277,12:15
2,21,HGV,61,12:15
2,22,ALL,342,12:30
2,22,BUS,0,12:30
2,22,CAR,294,12:30
2,22,HGV,48,12:30
2,23,ALL,336,12:45
2,23,BUS,1,12:45
2,23,CAR,278,12:45
2,23,HGV,57,12:45
2,24,ALL,354,13:00
2,24,BUS,0,13:00
2,24,CAR,282,13:00
2,24,HGV,72,13:00
2,25,ALL,334,13:15
2,25,BUS,1,13:15
2,25,CAR,286,13:15
2,25,HGV,47,13:15
2,26,ALL,336,13:30
2,26,BUS,0,13:30
2,26,CAR,284,13:30
2,26,HGV,52,13:30
2,27,ALL,367,13:45
2,27,BUS,0,13:45
2,27,CAR,312,13:45
2,27,HGV,55,13:45
2,28,ALL,285,14:00
2,28,BUS,0,14:00
2,28,CAR,239,14:00
2,28,HGV,46,14:00
2,29,ALL,315,14:15
2,29,BUS,0,14:15
2,29,CAR,258,14:15
2,29,HGV,57,14:15
2,30,ALL,306,14:30
2,30,BUS,0,14:30
2,30,CAR,243,14:30
2,30,HGV,63,14:30
2,31,ALL,356,14:45
2,31,BUS,1,14:45
2,31,CAR,294,14:45
2,31,HGV,61,14:45
2,32,ALL,330,15:00
2,32,BUS,3,15:00
2,32,CAR,264,15:00
2,32,HGV,63,15:00
2,33,ALL,338,15:15
2,33,BUS,2,15:15
2,33,CAR,273,15:15
2,33,HGV,63,15:15
2,34,ALL,327,15:30
2,34,BUS,0,15:30
2,34,CAR,272,15:30
2,34,HGV,55,15:30
2,35,ALL,332,15:45
2,35,BUS,1,15:45
2,35,CAR,266,15:45
2,35,HGV,65,15:45
2,36,ALL,347,16:00
2,36,BUS,0,16:00
2,36,CAR,295,16:00
2,36,HGV,52,16:00
2,37,ALL,332,16:15
2,37,BUS,0,16:15
2,37,CAR,295,16:15
2,37,HGV,37,16:15
2,38,ALL,343,16:30
2,38,BUS,2,16:30
2,38,CAR,300,16:30
2,38,HGV,41,16:30
2,39,ALL,301,16:45
2,39,BUS,0,16:45
2,39,CAR,274,16:45
2,39,HGV,27,16:45
2,40,ALL,355,17:00
2,40,BUS,0,17:00
2,40,CAR,332,17:00
2,40,HGV,23,17:00
2,41,ALL,319,17:15
2,41,BUS,0,17:15
2,41,CAR,298,17:15
2,41,HGV,21,17:15
2,42,ALL,347,17:30
2,42,BUS,0,17:30
2,42,CAR,322,17:30
2,42,HGV,25,17:30
2,43,ALL,338,17:45
2,43,BUS,1,17:45
2,43,CAR,312,17:45
2,43,HGV,25,17:45
2,44,ALL,376,18:00
2,44,BUS,0,18:00
2,44,CAR,353,18:00
2,44,HGV,23,18:00
2,45,ALL,342,18:15
2,45,BUS,0,18:15
2,45,CAR,318,18:15
2,45,HGV,24,18:15
2,46,ALL,353,18:30
2,46,BUS,1,18:30
2,46,CAR,330,18:30
2,46,HGV,22,18:30
2,47,ALL,354,18:45
2,47,BUS,1,18:45
2,47,CAR,344,18:45
2,47,HGV,9,18:45
3,0,ALL,534,07:00
3,0,BUS,8,07:00
3,0,CAR,455,07:00
3,0,HGV,71,07:00
3,1,ALL,500,07:15
3,1,BUS,16,07:15
3,1,CAR,426,07:15
3,1,HGV,58,07:15
3,2,ALL,610,07:30
3,2,BUS,15,07:30
3,2,CAR,534,07:30
3,2,HGV,61,07:30
3,3,ALL,584,07:45
3,3,BUS,8,07:45
3,3,CAR,529,07:45
3,3,HGV,47,07:45
3,4,ALL,538,08:00
3,4,BUS,13,08:00
3,4,CAR,495,08:00
3,4,HGV,30,08:00
3,5,ALL,510,08:15
3,5,BUS,14,08:15
3,5,CAR,470,08:15
3,5,HGV,26,08:15
3,6,ALL,511,08:30
3,6,BUS,14,08:30
3,6,CAR,455,08:30
3,6,HGV,42,08:30
3,7,ALL,499,08:45
3,7,BUS,26,08:45
3,7,CAR,432,08:45
3,7,HGV,41,08:45
3,8,ALL,508,09:00
3,8,BUS,21,09:00
3,8,CAR,457,09:00
3,8,HGV,30,09:00
3,9,ALL,542,09:15
3,9,BUS,32,09:15
3,9,CAR,474,09:15
3,9,HGV,36,09:15
3,10,ALL,470,09:30
3,10,BUS,30,09:30
3,10,CAR,398,09:30
3,10,HGV,42,09:30
3,11,ALL,496,09:45
3,11,BUS,33,09:45
3,11,CAR,418,09:45
3,11,HGV,45,09:45
3,12,ALL,491,10:00
3,12,BUS,28,10:00
3,12,CAR,408,10:00
3,12,HGV,55,10:00
3,13,ALL,470,10:15
3,13,BUS,24,10:15
3,13,CAR,385,10:15
3,13,HGV,61,10:15
3,14,ALL,426,10:30
3,14,BUS,22,10:30
3,14,CAR,349,10:30
3,14,HGV,55,10:30
3,15,ALL,426,10:45
3,15,BUS,17,10:45
3,15,CAR,344,10:45
3,15,HGV,65,10:45
3,16,ALL,402,11:00
3,16,BUS,19,11:00
3,16,CAR,308,11:00
3,16,HGV,75,11:00
3,17,ALL,398,11:15
3,17,BUS,13,11:15
3,17,CAR,326,11:15
3,17,HGV,59,11:15
3,18,ALL,443,11:30
3,18,BUS,21,11:30
3,18,CAR,367,11:30
3,18,HGV,55,11:30
3,19,ALL,395,11:45
3,19,BUS,13,11:45
3,19,CAR,314,11:45
3,19,HGV,68,11:45
3,20,ALL,383,12:00
3,20,BUS,17,12:00
3,20,CAR,303,12:00
3,20,HGV,63,12:00
3,21,ALL,380,12:15
3,21,BUS,15,12:15
3,21,CAR,296,12:15
3,21,HGV,69,12:15
3,22,ALL,375,12:30
3,22,BUS,14,12:30
3,22,CAR,316,12:30
3,22,HGV,45,12:30
3,23,ALL,409,12:45
3,23,BUS,12,12:45
3,23,CAR,346,12:45
3,23,HGV,51,12:45
3,24,ALL,431,13:00
3,24,BUS,16,13:00
3,24,CAR,354,13:00
3,24,HGV,61,13:00
3,25,ALL,398,13:15
3,25,BUS,9,13:15
3,25,CAR,331,13:15
3,25,HGV,58,13:15
3,26,ALL,465,13:30
3,26,BUS,16,13:30
3,26,CAR,396,13:30
3,26,HGV,53,13:30
3,27,ALL,402,13:45
3,27,BUS,12,13:45
3,27,CAR,325,13:45
3,27,HGV,65,13:45
3,28,ALL,395,14:00
3,28,BUS,14,14:00
3,28,CAR,337,14:00
3,28,HGV,44,14:00
3,29,ALL,408,14:15
3,29,BUS,12,14:15
3,29,CAR,334,14:15
3,29,HGV,62,14:15
3,30,ALL,391,14:30
3,30,BUS,13,14:30
3,30,CAR,333,14:30
3,30,HGV,45,14:30
3,31,ALL,364,14:45
3,31,BUS,16,14:45
3,31,CAR,302,14:45
3,31,HGV,46,14:45
3,32,ALL,412,15:00
3,32,BUS,26,15:00
3,32,CAR,330,15:00
3,32,HGV,56,15:00
3,33,ALL,403,15:15
3,33,BUS,12,15:15
3,33,CAR,352,15:15
3,33,HGV,39,15:15
3,34,ALL,451,15:30
3,34,BUS,18,15:30
3,34,CAR,387,15:30
3,34,HGV,46,15:30
3,35,ALL,474,15:45
3,35,BUS,15,15:45
3,35,CAR,398,15:45
3,35,HGV,61,15:45
3,36,ALL,468,16:00
3,36,BUS,20,16:00
3,36,CAR,383,16:00
3,36,HGV,65,16:00
3,37,ALL,540,16:15
3,37,BUS,17,16:15
3,37,CAR,460,16:15
3,37,HGV,63,16:15
3,38,ALL,538,16:30
3,38,BUS,24,16:30
3,38,CAR,466,16:30
3,38,HGV,48,16:30
3,39,ALL,482,16:45
3,39,BUS,13,16:45
3,39,CAR,429,16:45
3,39,HGV,40,16:45
3,40,ALL,485,17:00
3,40,BUS,14,17:00
3,40,CAR,439,17:00
3,40,HGV,32,17:00
3,41,ALL,491,17:15
3,41,BUS,12,17:15
3,41,CAR,456,17:15
3,41,HGV,23,17:15
3,42,ALL,440,17:30
3,42,BUS,23,17:30
3,42,CAR,393,17:30
3,42,HGV,24,17:30
3,43,ALL,425,17:45
3,43,BUS,15,17:45
3,43,CAR,385,17:45
3,43,HGV,25,17:45
3,44,ALL,433,18:00
3,44,BUS,17,18:00
3,44,CAR,399,18:00
3,44,HGV,17,18:00
3,45,ALL,490,18:15
3,45,BUS,15,18:15
3,45,CAR,455,18:15
3,45,HGV,20,18:15
3,46,ALL,464,18:30
3,46,BUS,13,18:30
3,46,CAR,422,18:30
3,46,HGV,29,18:30
3,47,ALL,451,18:45
3,47,BUS,18,18:45
3,47,CAR,413,18:45
3,47,HGV,20,18:45
4,0,ALL,88,07:00
4,0,BUS,0,07:00
4,0,CAR,71,07:00
4,0,HGV,17,07:00
4,1,ALL,127,07:15
